housingMedianAge,totalRooms,totalBedrooms,population,households,medianIncome,medianHouseValue
23.0,4095.0,578.0,1766.0,589.0,6.7418,30.25
34.0,789.0,200.0,1041.0,191.0,3.1189999999999998,9.03
10.0,4374.0,989.0,1020.0,376.0,2.6071,8.9
12.0,14316.0,2045.0,5781.0,2007.0,7.2634,34.16
27.0,1654.0,478.0,1141.0,420.0,1.4871,8.71
52.0,1301.0,389.0,1189.0,361.0,2.5139,19.0
20.0,5768.0,1597.0,4853.0,1465.0,3.5387,16.04
19.0,2870.0,1021.0,3325.0,978.0,1.7395,16.25
37.0,1822.0,498.0,1961.0,506.0,1.9881,15.92
52.0,1000.0,192.0,363.0,158.0,4.2981,35.28
34.0,2584.0,408.0,1233.0,405.0,5.6935,21.83
52.0,2515.0,494.0,1583.0,477.0,4.3393,31.76
52.0,610.0,145.0,281.0,132.0,2.9018,11.94
41.0,1183.0,203.0,455.0,171.0,5.1071,31.41
8.0,3955.0,815.0,2184.0,725.0,3.3438,12.76
51.0,1637.0,463.0,1543.0,393.0,2.489,11.91
6.0,3819.0,550.0,1738.0,587.0,5.8718,20.14
30.0,414.0,54.0,137.0,50.0,4.975,31.11
11.0,1280.0,286.0,609.0,248.0,3.1635,13.26
10.0,714.0,131.0,381.0,119.0,0.8926,11.61
29.0,1494.0,286.0,991.0,280.0,2.125,7.06
26.0,2807.0,630.0,1785.0,580.0,2.1638,13.28
25.0,7784.0,1145.0,3445.0,1166.0,6.0132,28.79
52.0,1388.0,271.0,735.0,239.0,3.7404,24.77
52.0,1391.0,287.0,632.0,276.0,1.7431,13.15
36.0,1068.0,246.0,949.0,250.0,2.3462,18.85
38.0,1839.0,287.0,685.0,276.0,4.5313,18.94
17.0,1619.0,292.0,705.0,285.0,2.4623,12.61
6.0,7292.0,1295.0,2468.0,1262.0,5.6411,29.47
17.0,762.0,138.0,322.0,139.0,4.2917,12.88
18.0,2250.0,484.0,1248.0,472.0,2.5893,9.96
16.0,1057.0,232.0,316.0,221.0,2.7417,9.17
52.0,1364.0,460.0,804.0,400.0,2.375,29.38
20.0,1838.0,540.0,615.0,325.0,3.5486,19.38
12.0,2453.0,599.0,1251.0,529.0,2.4122,12.7
17.0,2719.0,589.0,1386.0,570.0,3.7337,20.82
52.0,2465.0,773.0,2328.0,746.0,2.6178,20.31
27.0,5470.0,755.0,1916.0,764.0,6.994,42.08
37.0,5257.0,1360.0,2128.0,1264.0,4.0,39.43
9.0,1204.0,355.0,469.0,293.0,3.6196,11.99
20.0,5032.0,808.0,2695.0,801.0,6.6227,26.48
26.0,2528.0,511.0,2677.0,512.0,4.1165,16.49
26.0,2929.0,970.0,3792.0,817.0,2.2577,17.38
52.0,3257.0,735.0,1045.0,620.0,4.5523,50.0001
34.0,2669.0,647.0,1341.0,555.0,2.6399,11.96
47.0,2456.0,611.0,1653.0,512.0,1.3973,6.61
35.0,2129.0,614.0,2376.0,618.0,2.0372,16.08
45.0,1780.0,289.0,755.0,328.0,4.825,35.11
30.0,2871.0,470.0,1335.0,458.0,5.0232,25.39
50.0,1476.0,354.0,698.0,354.0,3.0,16.88
16.0,1215.0,223.0,787.0,233.0,4.1597,9.59
18.0,3783.0,654.0,1843.0,623.0,5.7559,21.58
50.0,1407.0,401.0,1526.0,385.0,2.29,12.18
32.0,342.0,58.0,138.0,52.0,2.9821,15.5
33.0,1145.0,197.0,508.0,198.0,2.3333,8.13
42.0,991.0,215.0,717.0,219.0,4.0926,16.44
40.0,1912.0,439.0,1015.0,413.0,1.4598,5.26
52.0,1192.0,289.0,772.0,257.0,2.3833,14.69
11.0,3251.0,623.0,1700.0,615.0,3.1875,17.2
39.0,1769.0,410.0,1499.0,390.0,3.1212,15.35
34.0,2037.0,385.0,1195.0,391.0,3.9231,9.6
34.0,1901.0,394.0,171.0,73.0,3.0729,14.46
48.0,396.0,99.0,485.0,110.0,2.375,10.75
20.0,1580.0,318.0,753.0,252.0,1.8704,8.85
45.0,2718.0,451.0,1106.0,454.0,4.6563,23.18
38.0,2265.0,801.0,2899.0,792.0,2.5521,15.75
19.0,1752.0,328.0,873.0,336.0,3.8068,20.16
14.0,1889.0,471.0,853.0,399.0,2.25,11.25
49.0,2527.0,461.0,1344.0,451.0,4.0833,11.44
25.0,3087.0,720.0,2529.0,708.0,1.8689,6.68
15.0,2809.0,450.0,1267.0,408.0,4.0426,19.17
40.0,2044.0,538.0,2150.0,524.0,2.1437,9.48
6.0,4685.0,965.0,2180.0,909.0,4.5458,20.82
41.0,831.0,149.0,443.0,146.0,3.1406,10.0
14.0,4872.0,656.0,2085.0,617.0,5.6739,17.38
17.0,1969.0,297.0,717.0,268.0,3.4698,17.97
46.0,1851.0,425.0,1100.0,377.0,2.0461,9.05
16.0,4975.0,949.0,2537.0,971.0,5.2361,22.47
52.0,2285.0,509.0,839.0,456.0,4.7946,35.56
7.0,4843.0,992.0,2223.0,932.0,3.0549,10.17
5.0,2904.0,702.0,1302.0,618.0,3.0081,13.52
9.0,4999.0,874.0,2687.0,817.0,4.2324,14.21
25.0,3497.0,513.0,1839.0,544.0,5.4216,26.3
19.0,3866.0,775.0,1554.0,703.0,4.3281,22.0
17.0,1554.0,242.0,553.0,230.0,3.2174,9.18
22.0,3526.0,510.0,1660.0,508.0,5.6642,23.7
33.0,1416.0,686.0,2013.0,614.0,1.9818,20.83
37.0,1705.0,403.0,1839.0,410.0,2.5833,13.27
10.0,3821.0,631.0,1605.0,609.0,5.5454,21.71
47.0,127.0,23.0,51.0,21.0,4.3472,37.5
39.0,3275.0,837.0,1137.0,725.0,3.7679,50.0001
18.0,1048.0,185.0,469.0,162.0,3.625,12.5
10.0,7249.0,1882.0,4274.0,1621.0,1.6983,6.66
24.0,4443.0,1283.0,2421.0,1180.0,2.2652,26.92
43.0,1429.0,386.0,1412.0,354.0,1.3287,10.72
5.0,2353.0,608.0,2505.0,573.0,2.2863,6.92
10.0,1421.0,204.0,657.0,209.0,5.1878,15.39
27.0,3894.0,776.0,1832.0,715.0,3.5085,18.78
22.0,2263.0,441.0,1395.0,416.0,3.725,12.35
48.0,1833.0,396.0,947.0,363.0,2.2827,7.0
26.0,3298.0,460.0,1241.0,472.0,6.8753,40.3
28.0,1499.0,574.0,3328.0,595.0,2.4539,11.5
37.0,1776.0,301.0,702.0,265.0,5.2661,31.49
16.0,3249.0,947.0,1637.0,841.0,4.5427,19.84
52.0,2867.0,496.0,978.0,513.0,3.1477,29.12
28.0,3494.0,566.0,1391.0,522.0,5.3637,21.47
38.0,1156.0,241.0,877.0,200.0,1.4514,7.99
38.0,3383.0,456.0,1203.0,465.0,9.3198,50.0001
26.0,5321.0,889.0,2932.0,896.0,5.8914,23.76
52.0,1375.0,322.0,287.0,184.0,3.9028,50.0001
32.0,2081.0,472.0,1342.0,411.0,2.7958,5.9
21.0,3951.0,562.0,1392.0,543.0,5.1439,41.4
44.0,1703.0,358.0,789.0,249.0,1.7083,10.0
19.0,1026.0,205.0,424.0,152.0,2.8833,15.42
42.0,1951.0,846.0,2500.0,813.0,1.5195,21.82
34.0,6001.0,1111.0,2654.0,1072.0,4.5878,29.1
47.0,1275.0,275.0,844.0,273.0,2.8967,9.56
15.0,3201.0,677.0,1510.0,622.0,4.2708,16.17
25.0,2718.0,504.0,1257.0,465.0,2.3333,9.06
33.0,4181.0,804.0,2049.0,834.0,4.3103,20.16
42.0,1768.0,372.0,1155.0,368.0,3.5580000000000003,16.11
48.0,1111.0,229.0,421.0,202.0,3.2813,26.81
4.0,2342.0,595.0,1518.0,545.0,2.9469,21.61
33.0,1190.0,217.0,717.0,196.0,2.6302,8.13
27.0,2127.0,628.0,1970.0,534.0,1.4722,9.13
24.0,1216.0,289.0,421.0,185.0,3.1625,10.36
25.0,3742.0,1180.0,3916.0,1063.0,2.4,15.37
32.0,1300.0,234.0,712.0,249.0,3.25,10.75
16.0,2666.0,450.0,1203.0,429.0,4.1375,22.24
16.0,2416.0,565.0,1750.0,514.0,2.8229,16.37
9.0,4609.0,798.0,2582.0,746.0,4.3429,17.39
41.0,620.0,133.0,642.0,162.0,2.6546,15.96
15.0,3084.0,557.0,1040.0,562.0,2.5183,29.33
18.0,1297.0,337.0,610.0,312.0,1.9441,18.44
34.0,2316.0,365.0,956.0,389.0,4.337,15.78
49.0,2843.0,880.0,2004.0,796.0,2.7875,21.73
30.0,962.0,291.0,1280.0,263.0,1.4464,11.02
25.0,5154.0,1105.0,3196.0,1073.0,2.7566,8.02
50.0,772.0,194.0,606.0,167.0,2.2206,5.92
24.0,3477.0,462.0,1593.0,484.0,6.8634,27.65
26.0,2269.0,317.0,918.0,313.0,6.6657,36.45
27.0,2596.0,435.0,1100.0,409.0,2.3243,8.55
10.0,7949.0,1309.0,3176.0,1163.0,4.1099,12.01
28.0,2787.0,490.0,1684.0,467.0,4.0256,12.71
29.0,1496.0,282.0,463.0,215.0,6.0516,50.0001
30.0,6373.0,854.0,2149.0,798.0,10.6868,50.0001
22.0,2486.0,608.0,709.0,523.0,2.9018,27.5
8.0,2683.0,416.0,1154.0,399.0,5.8625,10.94
39.0,1989.0,401.0,805.0,341.0,2.425,9.0
38.0,1607.0,337.0,1130.0,334.0,4.4821,19.07
6.0,3069.0,750.0,1541.0,736.0,3.8139999999999996,13.25
32.0,3191.0,634.0,1718.0,611.0,4.1548,21.66
32.0,1444.0,317.0,1177.0,311.0,3.6,16.46
36.0,3346.0,739.0,2151.0,713.0,2.3095,6.83
9.0,3748.0,644.0,1955.0,620.0,4.2011,10.81
18.0,4356.0,1334.0,1968.0,1245.0,3.6294,24.0
11.0,939.0,187.0,557.0,190.0,2.375,14.58
32.0,3068.0,628.0,1897.0,607.0,2.4234,6.37
36.0,1126.0,263.0,482.0,150.0,1.9167,8.28
15.0,1386.0,247.0,703.0,185.0,3.6415,12.42
20.0,1138.0,221.0,459.0,209.0,3.1534,12.34
41.0,1404.0,313.0,765.0,330.0,1.8792,6.33
52.0,1989.0,392.0,985.0,396.0,2.5556,7.58
28.0,3318.0,441.0,1604.0,404.0,9.7821,50.0001
36.0,1069.0,228.0,567.0,190.0,1.9559,7.84
16.0,2687.0,501.0,1502.0,480.0,3.75,14.68
42.0,1713.0,416.0,1349.0,427.0,3.2596,19.18
32.0,1484.0,295.0,928.0,295.0,5.1418,19.03
31.0,1602.0,358.0,1179.0,354.0,4.4896,15.68
26.0,971.0,245.0,592.0,207.0,2.1125,8.4
23.0,2105.0,525.0,1218.0,484.0,3.375,18.41
39.0,2124.0,661.0,1365.0,606.0,1.6642,28.13
36.0,2178.0,485.0,914.0,412.0,2.7656,23.95
23.0,1619.0,447.0,1025.0,415.0,1.858,6.75
14.0,2061.0,465.0,859.0,462.0,2.1289,11.53
18.0,2923.0,670.0,1751.0,656.0,3.2383,15.7
23.0,762.0,140.0,358.0,141.0,2.4545,10.5
18.0,1378.0,235.0,818.0,262.0,4.0625,10.03
39.0,3348.0,666.0,1817.0,668.0,4.2593,22.74
17.0,2054.0,291.0,836.0,288.0,6.8939,38.39
50.0,2082.0,492.0,1131.0,473.0,1.6424,10.89
20.0,2973.0,620.0,1996.0,570.0,3.0645,10.6
23.0,7518.0,1279.0,3827.0,1294.0,5.1701,21.68
26.0,162.0,27.0,86.0,25.0,2.375,13.75
39.0,4402.0,618.0,1616.0,631.0,8.9955,50.0001
35.0,1661.0,272.0,949.0,276.0,5.2548,19.26
7.0,2949.0,447.0,1335.0,426.0,6.0922,34.24
41.0,1743.0,349.0,811.0,349.0,4.9464,28.24
29.0,1312.0,267.0,922.0,255.0,3.1902,20.24
28.0,922.0,107.0,314.0,97.0,8.4721,34.23
2.0,6718.0,858.0,2012.0,654.0,6.8872,30.52
37.0,3134.0,532.0,1220.0,508.0,5.2865,45.54
45.0,1345.0,356.0,749.0,327.0,2.8007,21.09
19.0,3869.0,887.0,2086.0,685.0,2.6065,15.49
24.0,1587.0,222.0,676.0,234.0,6.0715,17.34
31.0,3136.0,431.0,1190.0,412.0,7.5,50.0001
52.0,4014.0,1069.0,2070.0,927.0,2.8202,44.29
17.0,1039.0,256.0,728.0,246.0,1.7411,6.35
14.0,4376.0,797.0,1809.0,746.0,3.8244,18.0
32.0,1408.0,307.0,1331.0,284.0,3.7014,17.96
37.0,1229.0,181.0,420.0,176.0,7.0175,36.67
36.0,1054.0,193.0,546.0,187.0,4.5625,24.0
38.0,2375.0,494.0,1167.0,471.0,2.6673,8.75
17.0,1280.0,254.0,707.0,267.0,3.55,10.63
34.0,2271.0,437.0,1393.0,433.0,4.2443,17.44
43.0,2108.0,456.0,1299.0,447.0,3.1406,31.62
47.0,1682.0,379.0,837.0,375.0,5.2806,40.0
2.0,2569.0,431.0,1232.0,388.0,4.3651,14.56
23.0,2446.0,360.0,1196.0,359.0,6.5755,27.28
26.0,696.0,185.0,384.0,184.0,2.6121,12.5
7.0,4524.0,735.0,2298.0,717.0,6.5538,31.16
4.0,5027.0,797.0,1869.0,686.0,3.5507,18.61
52.0,2082.0,425.0,801.0,411.0,4.2708,36.89
7.0,3292.0,698.0,1911.0,702.0,3.89,14.03
35.0,2283.0,491.0,1148.0,436.0,4.5556,31.86
24.0,3613.0,973.0,2002.0,931.0,1.9469999999999998,14.75
29.0,17738.0,3114.0,12427.0,2826.0,2.7377,2.83
18.0,2481.0,756.0,1763.0,675.0,2.8088,24.75
21.0,4151.0,1018.0,2054.0,925.0,4.9821,29.29
27.0,1417.0,373.0,814.0,348.0,2.3603,19.53
26.0,4629.0,832.0,2902.0,816.0,2.735,7.46
18.0,7334.0,1332.0,3339.0,1271.0,3.235,12.47
39.0,3856.0,867.0,1847.0,830.0,3.4559,36.49
35.0,1012.0,245.0,633.0,240.0,2.0324,5.55
8.0,1872.0,281.0,203.0,71.0,4.5882,19.84
14.0,1204.0,227.0,633.0,247.0,3.925,8.38
34.0,1511.0,272.0,773.0,265.0,3.5313,14.21
5.0,2693.0,508.0,1785.0,491.0,3.0,7.1
38.0,2387.0,748.0,1537.0,741.0,2.3147,19.25
34.0,2791.0,495.0,1276.0,468.0,4.9167,25.63
12.0,4325.0,1191.0,1897.0,1080.0,3.3173,24.74
11.0,1976.0,548.0,1528.0,512.0,1.4886,8.98
22.0,5484.0,1227.0,1947.0,1012.0,4.4375,50.0001
20.0,961.0,278.0,525.0,254.0,3.1838,24.58
45.0,564.0,353.0,1172.0,319.0,1.494,18.75
36.0,1380.0,269.0,598.0,262.0,3.1667,12.29
38.0,5277.0,1008.0,2695.0,997.0,3.9722,27.62
13.0,3474.0,927.0,2149.0,821.0,1.9528,8.53
30.0,3915.0,672.0,1820.0,643.0,3.6339,9.86
28.0,1171.0,299.0,1193.0,273.0,0.8639,4.94
13.0,1429.0,209.0,702.0,205.0,4.3625,11.18
52.0,2036.0,348.0,775.0,332.0,5.4122,39.75
35.0,1490.0,251.0,629.0,257.0,4.3661,22.21
42.0,1773.0,360.0,815.0,299.0,4.9,40.63
21.0,713.0,142.0,476.0,142.0,3.5208,12.11
52.0,1408.0,280.0,718.0,265.0,2.6806,20.79
45.0,1598.0,314.0,771.0,319.0,2.5417,8.29
15.0,2958.0,690.0,1348.0,617.0,3.8582,21.52
30.0,1197.0,269.0,695.0,279.0,3.4375,15.78
26.0,1592.0,429.0,1182.0,365.0,2.4583,11.04
28.0,1673.0,385.0,1434.0,371.0,2.0586,4.09
16.0,2088.0,535.0,816.0,326.0,1.319,7.07
36.0,2507.0,517.0,1232.0,470.0,5.529,24.13
23.0,1678.0,275.0,1227.0,264.0,4.1713,13.38
33.0,2463.0,421.0,1235.0,465.0,3.7045,16.15
43.0,1113.0,378.0,1305.0,334.0,1.1434,9.13
29.0,2358.0,493.0,1071.0,470.0,2.925,9.43
26.0,3819.0,955.0,3010.0,932.0,1.9206,8.13
27.0,2275.0,346.0,1039.0,333.0,6.2217,33.35
34.0,1367.0,288.0,1183.0,286.0,2.6812,10.41
14.0,6337.0,1593.0,3909.0,1480.0,2.0643,10.65
32.0,1677.0,354.0,1021.0,339.0,3.6853,9.09
20.0,4475.0,1048.0,2271.0,1021.0,4.8836,39.62
27.0,2219.0,312.0,937.0,315.0,5.7601,28.11
27.0,2358.0,415.0,1562.0,383.0,5.2297,19.28
33.0,1462.0,241.0,569.0,231.0,3.2833,8.26
15.0,6093.0,1051.0,2415.0,997.0,4.2075,18.36
36.0,2658.0,626.0,1490.0,529.0,1.2157,5.7
24.0,2314.0,468.0,1549.0,463.0,2.8203,15.26
26.0,4422.0,624.0,1936.0,625.0,6.4288,32.07
25.0,1399.0,329.0,1308.0,355.0,2.5682,18.75
26.0,3175.0,736.0,2460.0,775.0,3.125,21.99
8.0,6761.0,1234.0,3237.0,1177.0,4.3586,17.34
36.0,3474.0,645.0,1679.0,616.0,2.7256,7.19
42.0,3896.0,981.0,4496.0,993.0,3.153,15.09
36.0,447.0,95.0,2886.0,85.0,4.2578,18.33
23.0,2392.0,721.0,3074.0,718.0,2.5195,13.69
45.0,3758.0,819.0,1573.0,736.0,2.8355,24.54
34.0,1078.0,205.0,575.0,206.0,4.5083,18.8
17.0,2649.0,386.0,1057.0,362.0,4.7813,32.68
52.0,1196.0,236.0,965.0,265.0,3.5345,5.5
37.0,1412.0,343.0,1127.0,351.0,1.1667,7.09
18.0,2436.0,375.0,1303.0,386.0,6.1968,34.47
46.0,3581.0,758.0,1670.0,703.0,4.1932,26.92
24.0,1294.0,222.0,684.0,221.0,2.6908,10.31
38.0,3039.0,487.0,1131.0,465.0,7.7116,36.09
34.0,2821.0,399.0,843.0,391.0,11.615,50.0001
16.0,3424.0,698.0,1940.0,645.0,4.121,18.21
37.0,2619.0,682.0,1152.0,616.0,2.52,27.78
36.0,2062.0,351.0,1134.0,358.0,4.4881,21.89
32.0,2815.0,607.0,1338.0,609.0,4.5687,38.12
49.0,2308.0,452.0,1299.0,451.0,1.8407,9.67
52.0,3976.0,718.0,1750.0,769.0,3.4151,17.54
27.0,1672.0,299.0,757.0,282.0,3.6786,15.97
34.0,1823.0,457.0,1485.0,401.0,3.7222,20.72
26.0,1097.0,167.0,701.0,188.0,6.5799,19.66
21.0,2361.0,464.0,1146.0,396.0,3.6597,19.51
36.0,2526.0,452.0,996.0,441.0,5.611000000000001,45.66
45.0,3566.0,701.0,1601.0,653.0,3.8668,23.2
10.0,829.0,146.0,447.0,173.0,4.1484,10.29
14.0,3205.0,465.0,1439.0,456.0,5.7452,24.09
22.0,1468.0,285.0,611.0,235.0,2.3036,7.3
33.0,2613.0,562.0,3150.0,543.0,4.3899,18.07
52.0,2084.0,550.0,1438.0,516.0,2.3087,25.86
42.0,1667.0,395.0,1041.0,387.0,3.9583,27.37
7.0,479.0,84.0,327.0,103.0,5.1728,10.75
26.0,3606.0,792.0,1683.0,608.0,2.6587,5.74
16.0,1576.0,287.0,595.0,262.0,3.588,26.63
34.0,762.0,182.0,611.0,193.0,3.5625,20.18
23.0,1985.0,424.0,1198.0,389.0,2.7734,11.68
45.0,2570.0,517.0,1256.0,510.0,4.6898,22.6
17.0,4109.0,884.0,2544.0,780.0,2.7757,10.98
26.0,5574.0,1025.0,2607.0,988.0,4.0324,24.49
33.0,3007.0,498.0,1252.0,488.0,3.8816,13.46
31.0,855.0,217.0,280.0,139.0,2.3611,11.25
29.0,1652.0,310.0,832.0,326.0,4.8098,32.54
52.0,2888.0,604.0,1253.0,538.0,3.3893,24.17
50.0,3128.0,825.0,2535.0,783.0,2.3669,16.53
17.0,2703.0,550.0,1241.0,515.0,2.6519999999999997,17.13
35.0,1207.0,207.0,601.0,213.0,4.7308,35.34
29.0,3034.0,732.0,1776.0,702.0,3.1349,23.02
46.0,2639.0,448.0,938.0,424.0,5.0662,33.16
30.0,2495.0,586.0,1139.0,559.0,2.9375,20.92
30.0,1390.0,457.0,1460.0,423.0,2.2422,25.45
52.0,3503.0,752.0,1504.0,734.0,3.2705,24.18
34.0,1717.0,354.0,848.0,306.0,2.4741,8.7
26.0,2033.0,463.0,618.0,450.0,2.5685,8.04
36.0,1253.0,259.0,932.0,249.0,2.1635,11.04
37.0,1548.0,328.0,863.0,287.0,2.9792,15.13
12.0,1313.0,231.0,731.0,232.0,5.7373,20.83
19.0,2129.0,562.0,1323.0,525.0,2.9539,16.99
15.0,2874.0,592.0,1382.0,586.0,5.5137,16.18
23.0,3862.0,699.0,2082.0,652.0,3.154,11.57
34.0,2123.0,387.0,1310.0,368.0,2.6368,16.56
35.0,620.0,122.0,381.0,124.0,3.7917,18.39
10.0,2184.0,405.0,1119.0,370.0,4.7437,29.4
34.0,1759.0,353.0,2083.0,330.0,3.2292,16.06
36.0,4366.0,1211.0,1912.0,1172.0,3.5292,36.18
37.0,2045.0,502.0,1920.0,472.0,1.8125,8.33
39.0,1355.0,214.0,682.0,246.0,6.3443,32.47
47.0,1721.0,343.0,834.0,334.0,4.1923,23.12
11.0,4031.0,766.0,1539.0,564.0,3.8917,12.08
27.0,1005.0,266.0,460.0,243.0,3.1029,19.06
45.0,2257.0,285.0,759.0,305.0,11.7894,50.0001
10.0,6227.0,1164.0,2909.0,1077.0,4.106,11.59
16.0,2103.0,348.0,1305.0,356.0,5.2849,16.04
20.0,2428.0,473.0,1145.0,454.0,3.6797,26.38
19.0,1596.0,295.0,1201.0,282.0,3.8846,10.09
40.0,2320.0,562.0,1499.0,521.0,3.2792,26.08
9.0,2652.0,393.0,1355.0,362.0,6.2578,29.31
35.0,2114.0,341.0,1077.0,343.0,5.4876,22.75
39.0,45.0,8.0,22.0,9.0,1.7679,45.0
14.0,2927.0,588.0,1821.0,561.0,3.3529,8.26
9.0,981.0,169.0,596.0,156.0,3.1832,15.74
24.0,2386.0,582.0,1152.0,568.0,4.8971,40.07
42.0,1594.0,369.0,952.0,362.0,3.0989999999999998,33.54
19.0,322.0,112.0,191.0,102.0,2.5833,50.0001
52.0,1137.0,304.0,754.0,297.0,3.37,33.03
33.0,1558.0,316.0,1600.0,338.0,2.9712,14.39
40.0,581.0,157.0,298.0,156.0,2.4,25.5
31.0,2034.0,444.0,1097.0,367.0,2.1522,6.08
24.0,1521.0,209.0,539.0,192.0,11.1557,50.0001
52.0,1280.0,281.0,523.0,266.0,1.7375,12.22
43.0,4994.0,1057.0,1830.0,969.0,5.5321,50.0001
34.0,1536.0,273.0,804.0,287.0,4.9615,15.78
33.0,1943.0,440.0,1526.0,353.0,3.0380000000000003,13.75
16.0,2913.0,723.0,1705.0,693.0,2.9097,10.63
20.0,4489.0,800.0,2867.0,765.0,4.806,27.97
45.0,2019.0,394.0,1549.0,377.0,4.6111,22.3
16.0,3784.0,577.0,1615.0,525.0,4.2333,22.03
32.0,2307.0,493.0,1754.0,528.0,4.317,23.28
35.0,3517.0,879.0,1632.0,784.0,3.0956,50.0001
52.0,116.0,107.0,171.0,92.0,1.0769,11.25
37.0,2250.0,360.0,989.0,329.0,6.1536,36.6
