MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,logPRP
320,256,5000,4,1,6,3.2958368660043287
180,262,4000,0,1,3,2.8903717578961645
75,4000,16000,16,1,6,4.189654742026425
75,2000,16000,64,1,38,4.969813299576002
38,8000,16000,64,4,8,4.605170185988092
320,512,2000,4,1,3,4.23410650459726
92,2000,8000,32,1,6,4.127134385045092
90,256,1000,0,3,10,2.8332133440562166
400,2000,4000,0,1,1,3.4657359027997265
143,1000,2000,0,5,16,3.4339872044851463
240,512,1000,8,1,3,1.791759469228055
50,2620,10480,30,12,24,3.4657359027997265
160,1000,8000,16,1,14,4.0943445622220995
110,1000,12000,16,1,2,4.0943445622220995
50,2000,8000,8,1,6,4.02535169073515
50,2000,16000,8,3,6,4.0943445622220995
38,4000,8000,32,16,32,4.7535901911063645
84,1000,2000,0,1,6,2.4849066497880004
56,2000,8000,0,1,8,3.1780538303479458
