MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,logPRP
900,2000,4000,0,3,6,3.610917912644224
60,2000,16000,64,5,8,4.30406509320417
200,1000,8000,0,1,2,3.58351893845611
200,1000,2000,0,1,2,3.218875824868201
143,512,5000,0,7,32,3.332204510175204
133,1000,12000,9,3,12,4.276666119016055
38,8000,16000,64,4,8,4.605170185988092
50,2000,32000,112,52,104,5.726847747587197
105,1000,4000,0,3,24,3.4657359027997265
50,2000,16000,8,3,5,3.688879454113936
25,1310,2620,131,12,24,5.908082938168932
125,256,6000,256,16,128,5.288267030694535
90,256,1000,0,3,10,2.8332133440562166
38,4000,8000,32,16,32,4.7535901911063645
180,2000,16000,16,1,6,4.189654742026425
92,2000,8000,32,1,6,4.0943445622220995
200,512,16000,0,4,32,3.555348061489413
92,2000,8000,32,1,6,4.127134385045092
56,2000,8000,0,1,8,3.1780538303479458
40,8000,32000,64,8,24,5.6240175061873385
92,2000,8000,4,1,6,3.912023005428147
35,8000,32000,64,8,24,5.913503005638269
800,768,2000,0,0,0,2.9957322735539913
600,768,2000,0,1,1,2.772588722239781
23,32000,64000,128,32,64,7.042286171939742
50,4000,16000,65,1,8,4.927253685157205
25,2000,12000,16,3,5,4.189654742026425
56,4000,16000,0,1,8,3.828641396489095
38,4000,16000,128,16,32,5.356586274672011
900,1000,4000,4,1,2,2.8903717578961645
300,192,768,6,6,24,3.58351893845611
57,4000,16000,1,6,12,4.8828019225863715
1100,768,2000,0,1,1,2.5649493574615367
72,4000,16000,64,8,16,4.962844630259907
50,2000,16000,24,6,16,3.9889840465642745
75,2000,16000,64,1,38,4.969813299576002
220,1000,8000,16,1,2,4.262679877041316
25,2000,12000,8,1,4,3.8918202981106265
23,16000,32000,64,16,32,5.9053618480545715
105,2000,8000,16,4,14,4.060443010546419
140,2000,32000,32,1,54,5.2417470150596435
26,16000,32000,64,8,24,6.142037405587356
400,2000,4000,0,1,1,3.4657359027997265
60,4000,16000,32,1,6,4.4543472962535064
180,768,12000,6,1,31,4.430816798843313
330,1000,3000,0,2,4,2.772588722239781
400,1000,3000,0,1,2,3.6375861597263857
140,2000,4000,8,1,20,3.555348061489413
900,1000,4000,8,1,2,3.0910424533583165
23,16000,32000,64,16,32,6.192362489474872
140,2000,4000,0,3,6,3.3672958299864737
112,1000,1000,0,1,4,2.079441541679836
23,16000,64000,64,16,32,6.455198563340121
800,256,8000,0,1,4,3.0910424533583165
140,2000,8000,32,1,54,4.189654742026425
98,1000,8000,32,2,8,3.828641396489095
50,2000,16000,24,1,6,4.382026634673881
160,2000,8000,32,1,13,4.691347882229144
50,1000,4000,8,3,5,3.258096538021482
105,2000,4000,8,3,19,3.4657359027997265
75,4000,16000,16,1,6,4.189654742026425
320,512,5000,4,1,5,4.343805421853683
140,2000,4000,8,1,20,3.0910424533583165
50,2000,16000,24,6,16,4.174387269895637
50,1000,4000,8,1,5,3.3672958299864737
800,256,8000,0,1,4,2.4849066497880004
160,1000,8000,16,1,14,4.0943445622220995
160,1000,4000,8,1,14,3.6375861597263857
180,262,4000,0,1,3,2.4849066497880004
70,4000,12000,8,6,8,4.31748811353631
350,64,64,0,1,4,2.302585092994046
50,2000,8000,8,1,6,4.02535169073515
105,256,2000,0,3,10,3.258096538021482
320,256,3000,4,1,3,3.2958368660043287
50,2620,10480,30,12,24,4.143134726391533
50,500,2000,8,1,4,2.9957322735539913
110,1000,12000,16,1,2,4.0943445622220995
1100,512,1500,0,1,1,1.9459101490553128
50,2000,16000,8,3,6,3.951243718581428
200,2000,8000,64,1,5,3.7135720667043084
50,2000,32000,48,26,52,5.337538079701318
75,2000,8000,64,1,38,4.969813299576002
143,3100,6200,0,5,20,3.49650756146648
