normalized-losses,wheel-base,length,width,height,curb-weight,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
101.0,93.7,150.0,64.0,52.6,1940,2.91,3.41,9.2,76.0,6000.0,30,34,6.529
188.0,101.2,176.8,64.8,54.3,2710,3.31,3.19,9.0,121.0,4250.0,21,28,20.97
154.0,93.7,167.3,63.8,50.8,2191,2.97,3.23,9.4,68.0,5500.0,31,38,7.609
118.0,93.7,157.3,63.8,50.8,1876,2.97,3.23,9.4,68.0,5500.0,31,38,6.377000000000001
91.0,95.7,166.3,64.4,53.0,2275,3.27,3.35,22.5,56.0,4500.0,34,36,7.898
102.0,97.0,172.0,65.4,54.3,2385,3.62,2.64,9.0,82.0,4800.0,24,25,9.232999999999999
231.0,99.2,178.5,67.9,49.7,3139,3.43,3.27,9.0,160.0,5200.0,19,25,18.399
65.0,102.4,175.6,66.5,54.9,2480,3.27,3.35,22.5,73.0,4500.0,30,33,10.698
161.0,93.7,157.3,64.4,50.8,1944,2.97,3.23,9.4,68.0,5500.0,31,38,6.189
122.0,94.5,165.3,63.8,54.5,1938,3.15,3.29,9.4,69.0,5200.0,31,37,6.849
83.0,93.3,157.3,63.8,55.7,2240,3.62,2.64,8.7,73.0,4400.0,26,31,7.603
93.0,106.7,187.5,70.3,54.9,3495,3.58,3.64,21.5,123.0,4350.0,22,25,28.176
119.0,93.7,157.3,63.8,50.8,1918,2.97,3.23,9.4,68.0,5500.0,37,41,5.572
94.0,97.3,171.7,65.5,55.7,2212,3.19,3.4,9.0,85.0,5250.0,27,34,8.195
145.0,113.0,199.6,69.6,52.8,4066,3.63,4.17,8.1,176.0,4750.0,15,19,32.25
197.0,102.9,183.5,67.7,52.0,2976,3.27,3.35,9.3,161.0,5200.0,20,24,16.558
91.0,95.7,166.3,64.4,52.8,2275,3.27,3.35,22.5,56.0,4500.0,38,47,7.787999999999999
128.0,94.5,165.3,63.8,54.5,2017,2.99,3.47,21.9,55.0,4800.0,45,50,7.099
91.0,95.7,169.7,63.6,59.1,3110,3.05,3.03,9.0,62.0,4800.0,27,32,8.777999999999999
91.0,95.7,166.3,64.4,53.0,2081,3.19,3.03,9.0,70.0,4800.0,30,37,6.938
122.0,97.3,171.7,65.5,55.7,2261,3.01,3.4,23.0,52.0,4800.0,37,46,7.775
134.0,98.4,176.2,65.6,52.0,2540,3.62,3.5,9.3,116.0,4800.0,24,30,8.449
93.0,110.0,190.9,70.3,56.5,3515,3.58,3.64,21.5,123.0,4350.0,22,25,25.552
161.0,107.9,186.7,68.4,56.7,3197,3.7,3.52,21.0,95.0,4150.0,28,33,13.2
93.0,115.6,202.6,71.7,56.3,3770,3.58,3.64,21.5,123.0,4350.0,22,25,31.6
128.0,94.5,165.3,63.8,54.5,1918,3.15,3.29,9.4,69.0,5200.0,31,37,6.649
148.0,93.7,157.3,63.8,50.6,2191,3.03,3.39,7.6,102.0,5500.0,24,30,8.558
118.0,104.9,175.0,66.1,54.4,2670,3.76,3.16,8.0,120.0,5000.0,19,27,18.28
119.0,93.7,157.3,63.8,50.8,2128,3.03,3.39,7.6,102.0,5500.0,24,30,7.957000000000001
150.0,99.1,186.6,66.5,56.1,2658,3.54,3.07,9.31,110.0,5250.0,21,28,11.85
102.0,97.2,172.0,65.4,52.5,2145,3.62,2.64,9.5,82.0,4800.0,32,37,7.126
85.0,96.9,173.6,65.4,54.9,2420,3.62,2.64,9.0,82.0,4800.0,23,29,8.013
65.0,102.4,175.6,66.5,53.9,2458,3.31,3.54,8.7,92.0,4200.0,27,32,11.248
134.0,98.4,176.2,65.6,52.0,2679,3.62,3.5,9.3,116.0,4800.0,24,30,11.199000000000002
110.0,103.3,174.6,64.6,59.8,2535,3.34,3.46,8.5,88.0,5000.0,24,30,8.921
164.0,99.8,176.6,66.2,54.3,2337,3.19,3.4,10.0,102.0,5500.0,24,30,13.95
192.0,101.2,176.8,64.8,54.3,2395,3.5,2.8,8.8,101.0,5800.0,23,29,16.925
87.0,95.7,158.7,63.6,54.5,2040,3.05,3.03,9.0,62.0,4800.0,31,38,6.337999999999999
134.0,98.4,176.2,65.6,52.0,2551,3.62,3.5,9.3,116.0,4800.0,24,30,9.988999999999999
90.0,104.5,187.8,66.5,54.1,3131,3.27,3.35,9.2,156.0,5200.0,20,24,15.69
128.0,94.5,165.3,63.8,54.5,1889,3.15,3.29,9.4,69.0,5200.0,31,37,5.499
121.0,88.4,141.1,60.3,53.2,1488,2.91,3.03,9.5,48.0,5100.0,47,53,5.151
74.0,104.3,188.8,67.2,57.5,3042,3.78,3.15,9.5,114.0,5400.0,24,28,16.515
102.0,97.0,172.0,65.4,54.3,2510,3.62,2.64,7.7,111.0,4800.0,24,29,11.259
161.0,107.9,186.7,68.4,56.7,3020,3.46,3.19,8.4,97.0,5000.0,19,24,11.9
122.0,94.5,165.3,63.8,54.5,1971,3.15,3.29,9.4,69.0,5200.0,31,37,7.499
148.0,93.7,157.3,63.8,50.6,1989,2.97,3.23,9.4,68.0,5500.0,31,38,6.692
94.0,97.3,171.7,65.5,55.7,2319,3.01,3.4,23.0,68.0,4500.0,37,42,9.495
150.0,99.1,186.6,66.5,56.1,2707,2.54,2.07,9.3,110.0,5250.0,21,28,15.04
83.0,93.7,157.9,63.6,53.7,2120,3.62,2.64,8.7,73.0,4400.0,26,31,7.053
129.0,98.8,177.8,66.5,53.7,2385,3.39,3.39,8.6,84.0,4800.0,26,32,10.595
256.0,94.5,165.7,64.0,51.4,2221,3.19,3.4,8.5,90.0,5500.0,24,29,9.98
89.0,97.0,173.5,65.4,53.0,2455,3.62,2.64,9.0,94.0,5200.0,25,31,10.198
102.0,97.2,172.0,65.4,52.5,2190,3.62,2.64,9.5,82.0,4400.0,28,33,7.775
65.0,102.4,175.6,66.5,54.9,2414,3.31,3.54,8.7,92.0,4200.0,27,32,10.898
148.0,93.7,157.3,63.8,50.6,1967,2.97,3.23,9.4,68.0,5500.0,31,38,6.229
168.0,95.1,162.4,63.8,53.3,2008,3.15,3.29,9.4,69.0,5200.0,31,37,8.249
103.0,104.3,188.8,67.2,56.2,2935,3.78,3.15,9.5,114.0,5400.0,24,28,15.985
128.0,94.5,165.3,63.8,54.5,1951,3.15,3.29,9.4,69.0,5200.0,31,37,7.2989999999999995
