normalized-losses,wheel-base,length,width,height,curb-weight,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
128.0,94.5,165.3,63.8,54.5,1951,3.15,3.29,9.4,69.0,5200.0,31,37,7.2989999999999995
89.0,97.0,173.5,65.4,53.0,2290,3.62,2.64,9.0,82.0,4800.0,28,32,7.462999999999999
83.0,93.7,157.9,63.6,53.7,2120,3.62,2.64,8.7,73.0,4400.0,26,31,7.053
102.0,97.2,172.0,65.4,52.5,2190,3.62,2.64,9.5,82.0,4400.0,28,33,7.775
134.0,98.4,176.2,65.6,52.0,2540,3.62,3.5,9.3,116.0,4800.0,24,30,8.449
83.0,93.3,157.3,63.8,55.7,2240,3.62,2.64,8.7,73.0,4400.0,26,31,7.603
74.0,103.3,174.6,64.6,59.8,2535,3.35,3.46,8.5,88.0,5000.0,24,30,8.921
145.0,113.0,199.6,69.6,52.8,4066,3.63,4.17,8.1,176.0,4750.0,15,19,32.25
145.0,95.9,173.2,66.3,50.2,2811,3.6,3.9,7.0,145.0,5000.0,19,24,12.964
65.0,102.4,175.6,66.5,54.9,2480,3.27,3.35,22.5,73.0,4500.0,30,33,10.698
188.0,101.2,176.8,64.8,54.3,2710,3.31,3.19,9.0,121.0,4250.0,21,28,20.97
128.0,94.5,165.3,63.8,54.5,2017,2.99,3.47,21.9,55.0,4800.0,45,50,7.099
95.0,109.1,188.8,68.8,55.5,3049,3.78,3.15,8.7,160.0,5300.0,19,25,19.045
107.0,96.5,169.1,66.0,51.0,2293,3.15,3.58,9.1,100.0,5500.0,25,31,10.345
128.0,100.4,181.7,66.5,55.1,3095,3.43,3.27,9.0,152.0,5200.0,17,22,13.499
158.0,105.8,192.7,71.4,55.9,3086,3.13,3.4,8.3,140.0,5500.0,17,20,23.875
94.0,97.3,171.7,65.5,55.7,2212,3.19,3.4,9.0,85.0,5250.0,27,34,8.195
98.0,94.5,155.9,63.6,52.0,1874,3.03,3.11,9.6,70.0,5400.0,38,43,6.295
161.0,108.0,186.7,68.3,56.0,3130,3.61,3.21,7.0,142.0,5600.0,18,24,18.15
118.0,93.7,157.3,63.8,50.8,1876,2.97,3.23,9.4,68.0,5500.0,31,38,6.377000000000001
101.0,93.7,150.0,64.0,52.6,1940,2.91,3.41,9.2,76.0,6000.0,30,34,6.529
102.0,97.0,172.0,65.4,54.3,2385,3.62,2.64,9.0,82.0,4800.0,24,25,9.232999999999999
91.0,95.7,166.3,64.4,53.0,2275,3.27,3.35,22.5,56.0,4500.0,34,36,7.898
115.0,98.8,177.8,66.5,55.5,2410,3.39,3.39,8.6,84.0,4800.0,26,32,10.245
231.0,99.2,178.5,67.9,49.7,3139,3.43,3.27,9.0,160.0,5200.0,19,25,18.399
113.0,93.1,166.8,64.2,54.1,1950,3.08,3.15,9.0,68.0,5000.0,31,38,7.395
74.0,104.3,188.8,67.2,57.5,3042,3.78,3.15,9.5,114.0,5400.0,24,28,16.515
122.0,97.3,171.7,65.5,55.7,2209,3.19,3.4,9.0,85.0,5250.0,27,34,7.975
89.0,97.0,173.5,65.4,53.0,2455,3.62,2.64,9.0,94.0,5200.0,25,31,10.198
104.0,93.1,159.1,64.2,54.1,1905,3.03,3.15,9.0,68.0,5000.0,31,38,6.795
65.0,102.4,175.6,66.5,54.9,2414,3.31,3.54,8.7,92.0,4200.0,27,32,10.898
106.0,97.2,173.4,65.2,54.7,2324,3.33,3.47,8.5,97.0,5200.0,27,34,8.949
102.0,97.2,172.0,65.4,52.5,2145,3.62,2.64,9.5,82.0,4800.0,32,37,7.126
93.0,110.0,190.9,70.3,58.7,3750,3.58,3.64,21.5,123.0,4350.0,22,25,28.248
81.0,95.7,169.7,63.6,59.1,2290,3.05,3.03,9.0,62.0,4800.0,27,32,7.898
94.0,97.3,171.7,65.5,55.7,2275,3.19,3.4,9.0,85.0,5250.0,27,34,8.495
153.0,96.3,173.0,65.4,49.4,2370,3.17,3.46,7.5,116.0,5500.0,23,30,9.959
95.0,109.1,188.8,68.9,55.5,3062,3.78,3.15,9.5,114.0,5400.0,19,25,22.625
119.0,93.7,157.3,63.8,50.8,2128,3.03,3.39,7.6,102.0,5500.0,24,30,7.957000000000001
161.0,93.0,157.3,63.8,50.8,2145,3.03,3.39,7.6,102.0,5500.0,24,30,7.689
128.0,94.5,165.6,63.8,53.3,2028,3.15,3.29,9.4,69.0,5200.0,31,37,7.7989999999999995
115.0,98.8,177.8,66.5,55.5,2425,3.39,3.39,8.6,84.0,4800.0,26,32,11.245
161.0,107.9,186.7,68.4,56.7,3197,3.7,3.52,21.0,95.0,4150.0,28,33,13.2
118.0,93.7,157.3,63.8,50.8,2128,3.03,3.39,7.6,102.0,5500.0,24,30,7.957000000000001
188.0,101.2,176.8,64.8,54.3,2765,3.31,3.19,9.0,121.0,4250.0,21,28,21.105
134.0,98.4,176.2,65.6,52.0,2679,3.62,3.5,9.3,116.0,4800.0,24,30,11.199000000000002
148.0,93.7,157.3,63.8,50.6,2191,3.03,3.39,7.6,102.0,5500.0,24,30,8.558
119.0,93.7,157.3,63.8,50.8,1918,2.97,3.23,9.4,68.0,5500.0,37,41,5.572
95.0,109.1,188.8,68.9,55.5,3012,3.58,2.87,8.8,134.0,5500.0,18,23,21.485
106.0,96.5,167.5,65.2,53.3,2236,3.15,3.58,9.0,86.0,5800.0,27,33,7.895
94.0,97.3,171.7,65.5,55.7,2319,3.01,3.4,23.0,68.0,4500.0,37,42,9.495
104.0,99.1,186.6,66.5,56.1,2758,3.54,3.07,9.3,110.0,5250.0,21,28,15.51
